neighborhood,price,price_per_m2,rooms,area_m2,floor,max_floors,year,build_material,heating_type,condition
Kalnėnai,81000,1100,4,73,1,1,2021,brick,gas,partial decoration
Pavilnys,78800,1070,4,73,1,1,2021,brick,gas,partial decoration
Kalnėnai,78800,1070,3,73,1,1,2021,brick,gas,partial decoration
Kalnėnai,84000,1141,4,73,1,1,2021,brick,gas,partial decoration
Kalnėnai,77500,1053,3,73,1,1,2021,brick,gas,partial decoration
Pavilnys,77500,1053,4,73,1,1,2021,brick,gas,partial decoration
Antakalnis,120000,1754,3,68,1,1,1973,brick,central,fully equipped
Baltupiai,64400,1964,1,32,4,4,2020,brick,central thermostat,partial decoration
Baltupiai,77730,2030,2,38,2,2,2020,brick,central thermostat,fully equipped
Žirmūnai,140000,3903,2,35,4,4,2020,brick,central thermostat,fully equipped
Šnipiškės,140000,3903,2,35,4,4,2020,brick,central thermostat,fully equipped
Senamiestis,189000,3146,3,60,1,1,1940,brick,central,fully equipped
Šnipiškės,125000,3289,2,38,3,3,2019,brick,central thermostat,fully equipped
Senamiestis,150000,3409,1,44,1,1,1940,brick,electric,fully equipped
Senamiestis,168500,4012,2,42,1,1,1940,brick,central thermostat,fully equipped
Senamiestis,168500,4012,2,42,1,1,1940,brick,central thermostat,fully equipped
Senamiestis,148000,2902,2,51,1,1,1875,brick,central thermostat,fully equipped
Senamiestis,148000,2902,2,51,1,1,1882,brick,central thermostat,fully equipped
Senamiestis,310000,3039,5,102,1,1,1948,brick,central thermostat,fully equipped
Senamiestis,310000,2952,4,105,1,1,1948,brick,gas,fully equipped
Senamiestis,298000,4414,3,67,1,1,1940,brick,gas,fully equipped
Šnipiškės,129000,3613,2,35,2,2,2021,brick,central thermostat,fully equipped
Šnipiškės,139000,3344,2,41,2,2,2021,brick,central thermostat,fully equipped
Šnipiškės,123000,1892,3,65,5,5,2020,brick,central thermostat,partial decoration
Šnipiškės,156000,3499,2,44,5,5,2019,monolithic,central thermostat,fully equipped
Užupis,140000,2800,2,50,1,1,1940,monolithic,central thermostat,fully equipped
Naujamiestis,59000,2047,1,28,2,2,1971,brick,electric,fully equipped
Naujamiestis,65000,1888,1,34,2,2,1971,brick,electric,fully equipped
Burbiškės,137000,2108,3,65,2,2,2019,brick,central thermostat,fully equipped
Grigiškės,56500,1345,2,42,2,2,1968,brick,central,fully equipped
Pilaitė,133000,2015,3,66,7,7,2015,brick,central thermostat,fully equipped
Senamiestis,430000,3772,5,114,1,1,1940,brick,central thermostat,fully equipped
Žvėrynas,78000,1799,1,43,1,1,1972,brick,central,fully equipped
Šnipiškės,86000,2549,1,33,5,5,2021,brick,central thermostat,partial decoration
Šnipiškės,86000,2549,1,33,5,5,2021,brick,central thermostat,partial decoration
Šnipiškės,130000,2172,3,59,2,2,2021,brick,central thermostat,partial decoration
Šnipiškės,259000,4047,3,64,5,5,2020,brick,central thermostat,fully equipped
Senamiestis,259000,4047,3,64,5,5,2020,brick,central thermostat,fully equipped
Naujamiestis,62000,2696,1,23,1,1,1982,brick,central,fully equipped
Naujamiestis,52000,2737,1,19,3,3,1982,brick,central,fully equipped
Naujamiestis,33900,2608,1,13,1,1,1982,brick,central,fully equipped
Šnipiškės,146000,1699,4,85,1,1,2021,brick,central thermostat,partial decoration
Pilaitė,114000,1900,3,60,4,4,2020,block house,central thermostat,fully equipped
Pilaitė,97000,1850,3,52,2,2,2021,brick,central thermostat,partial decoration
Pilaitė,116000,1937,3,59,1,1,2021,brick,central thermostat,partial decoration
Antakalnis,51000,1500,2,34,4,4,1965,brick,central thermostat,partial decoration
Pilaitė,102000,1990,2,51,3,3,2021,brick,central thermostat,partial decoration
Karoliniškės,49900,1508,1,33,5,5,1976,block house,central,fully equipped
Karoliniškės,57000,2100,1,27,4,4,2021,brick,central thermostat,partial decoration
Naujininkai,162000,1409,4,115,5,5,1999,brick,central thermostat,fully equipped
Šnipiškės,65900,1378,2,47,5,5,1977,brick,central,fully equipped
Žirmūnai,23900,1536,1,15,3,3,1985,brick,central,fully equipped
Pilaitė,119000,1831,2,65,4,4,2012,brick,central thermostat,fully equipped
Antakalnis,125000,2155,2,58,3,3,2003,brick,gas,fully equipped
Antakalnis,125000,2155,2,58,3,3,2003,brick,gas,fully equipped
Senamiestis,127860,1998,2,64,1,1,1940,brick,central,fully equipped
Senamiestis,180040,2813,2,64,2,2,1940,monolithic,central,fully equipped
Pašilaičiai,88900,1434,2,62,11,11,2008,NaN,central thermostat,NaN
Lazdynai,67000,2030,1,33,5,5,1972,block house,central,fully equipped
Karoliniškės,82500,1859,2,44,3,3,2021,brick,central thermostat,partial decoration
Viršuliškės,82500,1859,2,44,3,3,2021,brick,central thermostat,partial decoration
Šnipiškės,57000,1759,2,32,2,2,1973,block house,central,fully equipped
Šnipiškės,495000,5038,3,98,3,3,2006,monolithic,central thermostat,fully equipped
Šnipiškės,495000,5038,3,98,3,3,2002,brick,central thermostat,fully equipped
Senamiestis,495000,5038,3,98,3,3,2006,monolithic,central thermostat,fully equipped
Karoliniškės,79700,1900,2,41,2,2,2021,brick,central thermostat,partial decoration
Karoliniškės,106500,1898,3,56,2,2,2021,brick,central thermostat,partial decoration
Karoliniškės,104600,1868,3,56,2,2,2021,brick,central thermostat,partial decoration
Šnipiškės,180000,1730,5,104,2,2,2021,brick,central thermostat,partial decoration
Šnipiškės,98000,2663,1,36,6,6,2021,brick,central thermostat,partial decoration
Markučiai,50000,1250,1,40,8,8,1983,brick,central,fully equipped
Šeškinė,189300,2450,3,77,6,6,2019,NaN,central thermostat,NaN
Viršuliškės,140000,1750,3,80,8,8,2007,brick,central thermostat,fully equipped
Markučiai,161700,2457,3,65,5,5,2022,brick,central thermostat,partial decoration
Pašilaičiai,101015,1217,3,83,2,2,2021,brick,central thermostat,partial decoration
Šnipiškės,400000,3150,3,127,3,3,2004,brick,central thermostat,partial decoration
Senamiestis,400000,3150,3,127,3,3,2004,brick,central thermostat,partial decoration
Pašilaičiai,70700,1648,2,42,2,2,2022,brick,central thermostat,partial decoration
Pašilaičiai,68300,2166,1,31,6,6,2022,brick,central thermostat,fully equipped
Viršuliškės,73700,1945,1,37,6,6,2021,brick,central thermostat,partial decoration
Karoliniškės,73700,1945,1,37,6,6,2021,brick,central thermostat,partial decoration
Karoliniškės,89800,1820,2,49,5,5,2021,brick,central thermostat,partial decoration
Viršuliškės,89800,1820,2,49,5,5,2021,brick,central thermostat,partial decoration
Pašilaičiai,90000,1343,3,67,2,2,2021,brick,central thermostat,fully equipped
Žvėrynas,370000,3192,4,115,2,2,1940,log house,gas,fully equipped
Pašilaičiai,83000,1694,2,49,7,7,2021,brick,central thermostat,fully equipped
Žvėrynas,299000,1942,4,154,2,2,1913,brick,gas,fully equipped
Žvėrynas,299000,1948,4,153,2,2,1913,brick,gas,fully equipped
Žvėrynas,105000,1591,3,66,1,1,1940,wooden house,gas,partial decoration
Justiniškės,75000,1389,2,54,6,6,2021,brick,central thermostat,partial decoration
Pašilaičiai,95015,1759,2,54,9,9,2021,brick,central thermostat,fully equipped
Pašilaičiai,95000,1758,2,54,9,9,2021,brick,central thermostat,fully equipped
Naujamiestis,124999,2159,2,57,2,2,1979,brick,gas,fully equipped
Senamiestis,116000,2155,3,53,4,4,1940,brick,central,fully equipped
Verkiai,135000,900,4,150,1,1,1975,block house,gas,partial decoration
Naujininkai,49000,1112,3,44,4,4,1979,brick,central,fully equipped
Naujininkai,49000,1112,2,44,4,4,1979,brick,central,fully equipped
Salininkai,49000,1112,2,44,4,4,1979,brick,central,fully equipped
Žirmūnai,244000,1690,3,144,1,1,1995,brick,gas,not equipped
Šnipiškės,90500,1481,3,61,2,2,1968,block house,central,not equipped
Paneriai,97000,1501,3,64,0,0,2021,brick,aerothermal,fully equipped
Paneriai,71000,1099,3,64,0,0,2021,brick,aerothermal,fully equipped
Aukštieji Paneriai,79000,1112,3,71,0,0,2021,brick,aerothermal,fully equipped
Fabijoniškės,95000,1751,2,54,9,9,2006,brick,gas,fully equipped
Senamiestis,624000,4000,5,156,2,2,2004,brick,central thermostat,fully equipped
Justiniškės,89900,1763,3,51,2,2,2021,brick,central thermostat,partial decoration
Žirmūnai,145000,4050,2,35,3,3,2020,brick,central thermostat,fully equipped
Šnipiškės,145000,4050,2,35,3,3,2020,brick,central thermostat,fully equipped
Senamiestis,87900,2930,1,30,3,3,1971,brick,central,fully equipped
Senamiestis,87000,2900,1,30,3,3,1971,brick,central,fully equipped
Šnipiškės,134000,2293,2,58,5,5,2006,brick,central thermostat,fully equipped
Grigiškės,145000,1394,4,104,8,8,2008,brick,central thermostat,fully equipped
Šnipiškės,190000,2130,4,89,3,3,2003,brick,central thermostat,fully equipped
Šnipiškės,190000,2131,3,89,3,3,2004,brick,central thermostat,fully equipped
Pilaitė,115000,1917,3,60,2,2,2016,brick,central thermostat,fully equipped
Baltupiai,71800,2032,2,35,5,5,2020,brick,central thermostat,partial decoration
Baltupiai,67500,1762,2,38,2,2,2020,brick,central thermostat,partial decoration
Baltupiai,64100,1706,2,37,4,4,2020,brick,central thermostat,partial decoration
Baltupiai,55600,1696,1,32,4,4,2020,brick,central thermostat,partial decoration
Naujininkai,49500,1119,2,44,3,3,1969,brick,central,fully equipped
Senamiestis,94000,3085,1,30,1,1,1940,brick,electric,fully equipped
Grigiškės,55900,1524,2,36,2,2,1964,brick,central,fully equipped
Antakalnis,297500,2492,4,119,3,3,1980,brick,central thermostat,fully equipped
Lazdynai,54500,1672,1,32,9,9,1971,block house,central,fully equipped
Senamiestis,255000,3188,3,80,1,1,2016,brick,central thermostat,fully equipped
Viršuliškės,83000,1319,3,62,9,9,1977,block house,central,fully equipped
Pilaitė,103000,2271,2,45,4,4,2013,brick,central,fully equipped
Žvėrynas,421650,4500,3,93,4,4,2022,brick,central thermostat,partial decoration
Pašilaičiai,109900,1998,2,55,6,6,2018,monolithic,central thermostat,fully equipped
Justiniškės,109900,1998,2,55,6,6,2018,monolithic,central thermostat,fully equipped
Senamiestis,115000,2919,2,39,2,2,1940,brick,electric,fully equipped
Antakalnis,139000,3171,2,43,3,3,2021,brick,aerothermal,partial decoration
Antakalnis,139000,3171,2,43,3,3,2021,brick,aerothermal,partial decoration
Žirmūnai,89000,1950,2,45,3,3,1966,block house,central thermostat,fully equipped
Šnipiškės,86000,2549,1,33,6,6,2021,brick,central thermostat,partial decoration
Antakalnis,79900,1683,2,47,5,5,1962,block house,central,fully equipped
Šnipiškės,117000,1955,3,59,1,1,2020,brick,central thermostat,partial decoration
Šnipiškės,74000,2711,1,27,3,3,2020,brick,central thermostat,partial decoration
Žvėrynas,84999,1378,3,61,1,1,1940,brick,solid fuel,fully equipped
Šnipiškės,92000,2913,2,31,3,3,2021,brick,central thermostat,fully equipped
Naujininkai,86400,1800,2,48,1,1,2021,monolithic,NaN,NaN
Naujininkai,150000,2500,3,60,1,1,2021,monolithic,electric,fully equipped
Lazdynai,63500,1924,1,33,6,6,1972,block house,central,fully equipped
Pašilaičiai,70200,1526,2,46,1,1,2021,brick,central thermostat,not equipped
Pašilaičiai,83000,1239,3,67,9,9,1987,block house,central,fully equipped
Justiniškės,100000,1538,2,65,4,4,2006,brick,central thermostat,fully equipped
Pašilaičiai,83500,1738,2,48,2,2,2020,brick,central thermostat,fully equipped
Pašilaičiai,93800,1406,3,66,5,5,1991,block house,central,fully equipped
Lazdynai,70000,1489,2,47,5,5,1970,block house,central,fully equipped
Naujamiestis,460000,4000,2,115,16,16,2009,monolithic,central thermostat,fully equipped
Žirmūnai,59900,2083,1,28,5,5,1966,block house,central thermostat,fully equipped
Karoliniškės,53000,1606,1,33,1,1,1976,block house,central,fully equipped
Vilkpėdė,79800,1967,2,40,1,1,1961,brick,central,fully equipped
Naujamiestis,79800,1967,2,40,1,1,1961,brick,central,fully equipped
Naujamiestis,134900,2603,2,51,3,3,1960,brick,gas,fully equipped
Naujamiestis,51000,2724,1,18,2,2,1991,brick,electric,fully equipped
Senamiestis,253000,3099,4,81,3,3,1940,brick,central thermostat,partial decoration
Pilaitė,198000,1245,4,159,3,3,2000,brick,central thermostat,fully equipped
Senamiestis,309000,3201,4,96,3,3,2019,brick,central thermostat,partial decoration
Senamiestis,309000,3201,4,96,3,3,1940,brick,central thermostat,partial decoration
Lazdynėliai,133000,2151,2,61,8,8,2016,brick,central thermostat,fully equipped
Senamiestis,110000,3196,2,34,2,2,1940,brick,central thermostat,partial decoration
Viršuliškės,79500,1223,3,65,2,2,1977,block house,central,fully equipped
Žemieji Paneriai,77000,1259,3,61,1,1,1958,brick,central,fully equipped
Naujamiestis,679000,4436,4,153,4,4,2018,monolithic,central thermostat,partial decoration
Naujamiestis,679000,4436,4,153,4,4,2018,monolithic,central thermostat,partial decoration
Senamiestis,210000,3134,2,67,6,6,2007,monolithic,central thermostat,fully equipped
Naujamiestis,209000,3167,2,66,6,6,2007,brick,central thermostat,fully equipped
Senamiestis,209000,3167,2,66,6,6,2007,monolithic,central thermostat,fully equipped
Karoliniškės,67000,1396,2,48,3,3,1978,block house,central,fully equipped
Šeškinė,93999,1402,3,67,4,4,1980,block house,central,fully equipped
Turniškės,187900,2610,2,72,2,2,2013,brick,gas,fully equipped
Turniškės,187900,2610,3,72,2,2,1959,brick,NaN,NaN
Turniškės,187900,2610,2,72,2,2,1959,brick,NaN,NaN
Justiniškės,114150,1720,4,66,2,2,2020,brick,central,partial decoration
Justiniškės,114150,1735,4,65,2,2,2021,brick,central thermostat,partial decoration
Senamiestis,815000,5699,4,143,5,5,2018,brick,central thermostat,fully equipped
Pilaitė,129500,1933,3,67,4,4,2020,block house,central thermostat,fully equipped
Naujamiestis,115000,1966,2,58,1,1,1900,brick,central,not equipped
Žirmūnai,62300,2091,1,29,3,3,1965,block house,central,fully equipped
Justiniškės,124000,1968,3,63,5,5,2005,brick,central thermostat,fully equipped
Pašilaičiai,125000,2004,3,62,5,5,2005,brick,central thermostat,fully equipped
Pašilaičiai,124000,1988,2,62,5,5,2005,brick,central thermostat,fully equipped
Antakalnis,54000,1187,1,45,2,2,1940,wooden house,gas,fully equipped
Antakalnis,54000,1187,1,45,2,2,1940,wooden house,central,fully equipped
Karoliniškės,53019,1323,2,40,3,3,1976,brick,central,partial decoration
Karoliniškės,46740,1267,2,36,3,3,1976,brick,central,partial decoration
Karoliniškės,49776,1309,2,38,3,3,1974,brick,central thermostat,partial decoration
Naujininkai,108900,1999,3,54,3,3,2021,brick,central thermostat,partial decoration
Naujininkai,110900,2036,3,54,3,3,2021,brick,central thermostat,partial decoration
Naujininkai,64500,2148,1,30,3,3,2021,brick,central thermostat,partial decoration
Antakalnis,690200,3920,4,176,1,1,2017,monolithic,geothermal,partial decoration
Žvėrynas,684000,3000,4,228,4,4,2018,monolithic,gas,partial decoration
Senamiestis,390000,4124,4,94,3,3,1900,brick,central,fully equipped
Naujamiestis,107000,2280,1,46,4,4,1940,brick,electric,fully equipped
Senamiestis,107000,2280,1,46,4,4,1940,brick,electric,fully equipped
Senamiestis,525000,2500,5,210,3,3,1996,brick,electric,fully equipped
Senamiestis,525000,2500,5,210,3,3,1996,brick,electric,fully equipped
Senamiestis,525000,2500,5,210,3,3,1996,brick,central thermostat,fully equipped
Senamiestis,525000,2500,5,210,3,3,1996,brick,central thermostat,fully equipped
Užupis,410000,3517,4,116,2,2,2020,brick,central thermostat,fully equipped
Užupis,410000,3517,4,116,2,2,2020,brick,central thermostat,fully equipped
Baltupiai,81000,2700,1,30,3,3,2020,brick,central thermostat,fully equipped
Pilaitė,117900,1861,3,63,2,2,2021,brick,gas,partial decoration
Pašilaičiai,101000,1221,3,82,2,2,2019,brick,central thermostat,partial decoration
Naujamiestis,150000,3088,2,48,4,4,2007,brick,central thermostat,partial decoration
Šnipiškės,135000,2907,2,46,2,2,2016,brick,central thermostat,fully equipped
Žvėrynas,165000,2845,3,58,1,1,2014,brick,central thermostat,fully equipped
Antakalnis,120000,2069,2,58,1,1,1959,brick,central,fully equipped
Užupis,145000,2710,2,53,3,3,2013,brick,central thermostat,fully equipped
Žirmūnai,85000,1705,2,49,5,5,1967,brick,central,fully equipped
Pavilnys,127000,1308,4,97,1,1,2020,brick,central,fully equipped
Kalnėnai,127000,1308,4,97,1,1,2020,brick,central,fully equipped
Kalnėnai,119000,1382,4,86,1,1,2020,brick,central,fully equipped
Šnipiškės,115000,2300,2,50,2,2,1905,brick,solid fuel,fully equipped
Pašilaičiai,115015,1386,4,83,4,4,2021,brick,central thermostat,fully equipped
Pašilaičiai,61000,1649,1,37,1,1,1987,block house,central,fully equipped
Žirmūnai,125000,3378,2,37,4,4,2009,brick,central thermostat,fully equipped
Lazdynai,83400,1334,3,62,12,12,1972,brick,central,fully equipped
Naujininkai,62000,1676,1,37,3,3,1986,brick,central,fully equipped
Viršuliškės,95200,1488,3,64,7,7,1978,block house,central,fully equipped
Viršuliškės,95200,1490,3,63,7,7,1978,block house,central,fully equipped
Senamiestis,159000,3165,2,50,1,1,1940,brick,electric,fully equipped
Užupis,465000,3550,4,131,1,1,2013,brick,central thermostat,fully equipped
Markučiai,95218,2488,1,38,3,3,2019,monolithic,central thermostat,fully equipped
Užupis,95218,2488,1,38,3,3,2019,monolithic,central thermostat,fully equipped
Žirmūnai,89000,1978,2,45,3,3,1965,block house,central,fully equipped
Žirmūnai,89000,2010,2,44,3,3,1965,block house,central,fully equipped
Žirmūnai,49500,2215,1,22,1,1,1976,block house,central,fully equipped
Naujamiestis,116223,2525,1,46,1,1,2019,monolithic,central thermostat,partial decoration
Senamiestis,429000,3000,5,143,5,5,2019,monolithic,central thermostat,partial decoration
Naujamiestis,429000,3005,5,142,5,5,2019,monolithic,central thermostat,partial decoration
Naujamiestis,137950,2501,2,55,1,1,2019,monolithic,central thermostat,partial decoration
Naujoji Vilnia,19900,948,1,21,3,3,1979,block house,electric,partial decoration
Naujoji Vilnia,21000,1000,1,21,3,3,1981,block house,electric,partial decoration
Žvėrynas,400000,3333,4,120,4,4,2007,block house,electric,partial decoration
Naujamiestis,700000,2991,6,234,3,3,1940,block house,electric,partial decoration
Valakampiai,190000,2639,3,72,2,2,1968,block house,electric,partial decoration
Užupis,570000,2028,5,281,1,1,1999,brick,gas,fully equipped
Senamiestis,285000,3393,4,84,5,5,1959,brick,gas,fully equipped
Senamiestis,255000,2865,3,89,3,3,2018,brick,gas,partial decoration
Senamiestis,255000,2869,3,88,3,3,1900,brick,gas,partial decoration
Užupis,370000,2868,4,129,1,1,1940,brick,gas,fully equipped
Užupis,370000,2868,4,129,1,1,2020,brick,gas,partial decoration
Šnipiškės,199500,2717,2,73,10,10,2005,brick,gas,fully equipped
Baltupiai,130000,1757,2,74,3,3,2004,brick,central thermostat,fully equipped
Senamiestis,280000,3415,2,82,1,1,2009,brick,central thermostat,fully equipped
Senamiestis,280000,3415,2,82,1,1,2009,brick,central thermostat,fully equipped
Senamiestis,260000,3210,2,81,1,1,2007,brick,central thermostat,fully equipped
Justiniškės,95000,1786,2,53,5,5,2021,brick,central thermostat,fully equipped
Justiniškės,95000,1786,2,53,5,5,2021,brick,central thermostat,fully equipped
Pilaitė,94200,2500,2,37,1,1,2021,brick,gas,fully equipped
Žemieji Paneriai,67000,2393,2,28,4,4,2020,brick,electric,fully equipped
Kalnėnai,92000,1095,3,84,1,1,2019,brick,gas,partial decoration
Pavilnys,25500,944,1,27,1,1,1960,brick,electric,partial decoration
Naujininkai,77500,2021,2,38,2,2,2021,brick,central,partial decoration
Naujininkai,77500,2021,2,38,2,2,2021,brick,central thermostat,partial decoration
Santariškės,233000,2741,4,85,1,1,2015,brick,central thermostat,fully equipped
Pašilaičiai,70100,1460,2,48,1,1,2020,brick,central thermostat,partial decoration
Naujamiestis,370000,4353,3,85,4,4,2006,brick,central thermostat,fully equipped
Senamiestis,370000,4353,3,85,4,4,2006,brick,central thermostat,fully equipped
Senamiestis,370000,4405,3,84,4,4,2006,brick,central thermostat,fully equipped
Senamiestis,370000,4458,3,83,4,4,2006,brick,central thermostat,fully equipped
Naujamiestis,370000,4458,3,83,4,4,2006,brick,central thermostat,fully equipped
Antakalnis,179900,1524,3,118,2,2,2003,brick,gas,fully equipped
Saulėtekis,179900,1524,4,118,2,2,2003,brick,gas,fully equipped
Saulėtekis,179900,1524,4,118,2,2,2003,brick,gas,fully equipped
Antakalnis,179900,1524,4,118,2,2,2003,brick,gas,fully equipped
Vilkpėdė,66000,1630,2,40,4,4,2020,brick,electric,fully equipped
Žemieji Paneriai,66000,1630,2,40,4,4,2020,brick,electric,fully equipped
Pašilaičiai,70200,1526,2,46,2,2,2020,brick,central thermostat,partial decoration
Lazdynai,86000,1344,4,64,4,4,1970,block house,central thermostat,fully equipped
Pilaitė,69700,1991,1,35,1,1,2020,brick,central thermostat,fully equipped
Lazdynėliai,99500,1808,2,55,1,1,2020,brick,central thermostat,fully equipped
Pašilaičiai,115015,1386,3,83,3,3,2021,brick,central thermostat,fully equipped
Lazdynėliai,46100,2113,1,21,1,1,2022,brick,central thermostat,partial decoration
Lazdynėliai,52900,2113,1,25,3,3,2022,brick,central thermostat,partial decoration
Lazdynėliai,88300,2077,2,42,4,4,2022,brick,central thermostat,partial decoration
Lazdynėliai,81500,1917,2,42,3,3,2022,brick,central thermostat,partial decoration
Senamiestis,99990,1791,3,55,0,0,1940,brick,gas,fully equipped
Naujininkai,156585,1950,4,80,3,3,2021,brick,geothermal,partial decoration
Naujininkai,79250,1665,2,47,1,1,2021,brick,geothermal,partial decoration
Naujininkai,65000,1912,1,34,1,1,2021,brick,geothermal,partial decoration
Lazdynėliai,104400,1937,2,53,2,2,2022,brick,central thermostat,partial decoration
Antakalnis,174000,2638,3,65,6,6,2020,brick,central thermostat,partial decoration
Lazdynėliai,130000,1888,3,68,2,2,2020,brick,central thermostat,partial decoration
Šnipiškės,33700,1532,1,22,1,1,1940,wooden house,electric,fully equipped
Antakalnis,136500,2503,2,54,6,6,2020,brick,central thermostat,partial decoration
Karoliniškės,56500,1744,1,32,8,8,1973,block house,NaN,NaN
Antakalnis,131300,2561,2,51,6,6,2020,brick,central thermostat,partial decoration
Antakalnis,76000,2286,1,33,3,3,2020,brick,central thermostat,partial decoration
Žvėrynas,159000,2385,3,66,1,1,1940,wooden house,gas,not equipped
Naujamiestis,249900,2315,4,107,4,4,2020,monolithic,central thermostat,fully equipped
Naujamiestis,259900,2406,4,108,5,5,2020,monolithic,central thermostat,fully equipped
Naujamiestis,269900,2512,4,107,6,6,2020,monolithic,central thermostat,fully equipped
Žirmūnai,72000,2182,1,33,2,2,1976,block house,central,not equipped
Šnipiškės,72000,2201,1,32,2,2,1976,block house,central,fully equipped
Senamiestis,249700,3437,3,72,3,3,1940,brick,solid fuel,fully equipped
Justiniškės,72000,1562,2,46,9,9,2021,brick,central thermostat,partial decoration
Pašilaičiai,101015,1217,3,83,4,4,2021,brick,central thermostat,partial decoration
Naujamiestis,50000,2632,1,19,1,1,1982,brick,central,fully equipped
Šeškinė,129995,3250,2,40,7,7,2020,brick,central,fully equipped
Senamiestis,180000,2278,2,79,3,3,1913,brick,central,fully equipped
Šnipiškės,87400,2300,2,38,4,4,2021,brick,central thermostat,partial decoration
Šeškinė,87400,2300,2,38,4,4,2021,brick,gas,partial decoration
Antakalnis,54000,2077,1,26,1,1,2019,brick,gas,fully equipped
Senamiestis,96000,3071,1,31,1,1,1940,brick,electric,fully equipped
Naujamiestis,96000,3071,1,31,1,1,1940,brick,electric,fully equipped
Naujoji Vilnia,85000,1099,4,77,4,4,1968,brick,central,fully equipped
Justiniškės,101000,1384,4,73,6,6,2021,brick,central thermostat,partial decoration
Šnipiškės,180000,1721,5,104,1,1,2020,brick,central thermostat,partial decoration
Antakalnis,147000,2450,3,60,3,3,1980,brick,central thermostat,fully equipped
Justiniškės,89800,1247,3,72,5,5,2021,brick,central thermostat,partial decoration
Karoliniškės,85000,1731,2,49,8,8,1974,block house,central,fully equipped
Naujoji Vilnia,82000,1242,3,66,5,5,1971,brick,central,fully equipped
Naujoji Vilnia,82000,1242,3,66,5,5,1968,brick,central,fully equipped
Naujoji Vilnia,53000,1060,2,50,2,2,1958,brick,solid fuel,not equipped
Santariškės,98500,2106,2,46,2,2,1997,brick,central thermostat,fully equipped
Antakalnis,105000,1310,4,80,1,1,2021,brick,central thermostat,fully equipped
Antakalnis,88000,1301,3,67,4,4,2021,brick,central thermostat,fully equipped
Antakalnis,98000,1225,4,80,4,4,2021,brick,central thermostat,fully equipped
Antakalnis,95000,1431,3,66,3,3,2021,brick,central thermostat,fully equipped
Antakalnis,76000,1413,2,53,2,2,2021,brick,central thermostat,fully equipped
Justiniškės,127000,1662,3,76,3,3,2009,brick,central thermostat,fully equipped
Pilaitė,106000,2012,2,52,3,3,2021,brick,central thermostat,partial decoration
Naujoji Vilnia,67000,1342,2,49,5,5,1980,block house,central,fully equipped
Pilaitė,71500,1424,2,50,3,3,1994,block house,central,not equipped
Senamiestis,285000,2355,4,121,1,1,2009,brick,central thermostat,fully equipped
Naujamiestis,195000,3047,3,64,2,2,1954,brick,central,fully equipped
Naujoji Vilnia,79500,1205,3,66,2,2,1974,brick,central,fully equipped
Karoliniškės,74400,1583,2,47,4,4,1973,block house,central,fully equipped
Santariškės,239000,1847,5,129,3,3,2009,brick,gas,fully equipped
Lazdynėliai,24999,811,2,30,1,1,1995,brick,NaN,NaN
Užupis,495000,2829,5,175,5,5,2007,brick,central thermostat,fully equipped
Senamiestis,126000,4502,2,27,1,1,2018,brick,central,fully equipped
Senamiestis,126000,4500,2,28,1,1,2018,brick,central,fully equipped
Karoliniškės,104000,2787,2,37,5,5,2016,brick,central thermostat,fully equipped
Žvėrynas,39771,2700,1,14,2,2,1940,brick,gas,fully equipped
Baltupiai,115500,2888,2,40,1,1,2015,brick,central thermostat,fully equipped
Žvėrynas,67000,2481,1,27,2,2,1940,carcass house,gas,fully equipped
Kalnėnai,149000,1774,4,84,1,1,2021,brick,gas,fully equipped
Žvėrynas,225000,3814,2,59,2,2,2016,brick,central thermostat,fully equipped
Naujamiestis,46000,3067,1,15,1,1,1982,brick,central,fully equipped
Karoliniškės,99000,1554,3,63,4,4,1973,block house,central,fully equipped
Šiaurės miestelis,155000,2385,3,65,4,4,2003,brick,central thermostat,fully equipped
Šnipiškės,88000,2475,1,35,3,3,2021,brick,central thermostat,partial decoration
Karoliniškės,48000,1437,2,33,1,1,1999,brick,central,fully equipped
Pašilaičiai,127000,1366,3,93,6,6,1998,brick,electric,fully equipped
Naujamiestis,550000,2619,5,210,4,4,1996,brick,central thermostat,fully equipped
Senamiestis,550000,2619,5,210,4,4,1996,brick,central thermostat,fully equipped
Naujamiestis,103800,2257,2,46,2,2,2020,brick,central thermostat,partial decoration
Naujamiestis,103000,2239,2,46,2,2,2020,brick,central thermostat,partial decoration
Pilaitė,92000,1681,2,54,5,5,2016,brick,central thermostat,fully equipped
Naujamiestis,105500,2151,2,49,1,1,2020,brick,central thermostat,partial decoration
Naujamiestis,97500,2074,2,47,3,3,2020,brick,central thermostat,partial decoration
Senamiestis,123000,4920,2,25,1,1,2018,brick,central thermostat,partial decoration
Justiniškės,79500,1445,3,55,8,8,2021,brick,central,partial decoration
Šiaurės miestelis,55000,1571,1,35,3,3,1972,brick,central,fully equipped
Baltupiai,57700,2113,1,27,2,2,2020,brick,central thermostat,fully equipped
Baltupiai,67100,1837,2,36,2,2,2020,brick,central thermostat,fully equipped
Baltupiai,50400,1845,1,27,2,2,2020,brick,central thermostat,partial decoration
Senamiestis,188000,2478,3,75,2,2,1940,brick,gas,fully equipped
Šnipiškės,117000,1691,3,69,8,8,1990,brick,central,partial decoration
Baltupiai,135900,2665,3,51,2,2,2020,brick,central thermostat,fully equipped
Šeškinė,135800,2694,3,50,2,2,2020,brick,gas,fully equipped
