neighborhood,price,price_per_m2,rooms,area_m2,floor,max_floors,year,build_material,heating_type,condition
Fabijoniškės,59000,1656,1,35,1,1,1989,block house,central,fully equipped
Justiniškės,87000,1707,3,50,1,1,2021,brick,central thermostat,partial decoration
Justiniškės,75000,1391,2,53,7,7,2021,brick,central thermostat,partial decoration
Senamiestis,190000,3585,3,53,1,1,2019,brick,central thermostat,fully equipped
Šnipiškės,71300,2227,1,32,3,3,2021,brick,central thermostat,partial decoration
Viršuliškės,103500,1803,3,57,2,2,2021,brick,central thermostat,partial decoration
Viršuliškės,89700,2059,2,43,11,11,2021,brick,central thermostat,partial decoration
Viršuliškės,60900,2355,1,25,17,17,2021,block house,central thermostat,partial decoration
Visoriai,165999,2736,3,60,2,2,2019,brick,central thermostat,fully equipped
Naujamiestis,114700,2390,2,48,4,4,2021,brick,central thermostat,partial decoration
Didieji Gulbinai,95500,958,4,99,1,1,2019,brick,gas,partial decoration
Šnipiškės,123273,1733,3,71,1,1,2021,brick,central thermostat,partial decoration
Kalnėnai,88000,1100,4,80,2,2,2019,brick,gas,partial decoration
Pilaitė,118000,1192,4,99,1,1,2019,brick,gas,partial decoration
Žvėrynas,106000,2148,2,49,1,1,1984,brick,central,fully equipped
Naujamiestis,370392,3300,4,112,1,1,2021,brick,central,fully equipped
Senamiestis,99000,1071,4,92,1,1,1940,brick,electric,partial decoration
Viršuliškės,96000,1455,3,66,6,6,1977,block house,central,fully equipped
Žemieji Paneriai,70000,1707,2,41,3,3,1984,brick,electric,fully equipped
Justiniškės,72000,1565,2,46,9,9,2021,brick,central thermostat,partial decoration
Baltupiai,194900,2677,3,72,4,4,2009,brick,central thermostat,fully equipped
Naujamiestis,81400,2884,1,28,1,1,2022,brick,central thermostat,partial decoration
Fabijoniškės,69900,1382,2,50,1,1,1995,monolithic,central,fully equipped
Žirmūnai,59800,1810,1,33,1,1,1968,block house,central,fully equipped
Naujamiestis,97900,2128,2,46,3,3,1960,brick,central,fully equipped
Šiaurės miestelis,55000,2124,1,25,5,5,1969,brick,central,fully equipped
Šnipiškės,40900,2230,1,18,4,4,1968,brick,central,fully equipped
Šnipiškės,46000,1853,2,24,8,8,1990,brick,central,partial decoration
Šnipiškės,56000,2063,2,27,8,8,1990,brick,central,partial decoration
Antakalnis,180000,2482,3,72,6,6,2020,brick,central thermostat,partial decoration
Antakalnis,142000,2132,3,66,2,2,2020,brick,central thermostat,partial decoration
Žirmūnai,52000,1857,1,28,9,9,1969,brick,central,fully equipped
Pašilaičiai,159900,1279,4,125,6,6,2002,brick,gas,fully equipped
Justiniškės,89000,1894,2,47,5,5,2020,brick,central thermostat,fully equipped
Pilaitė,97000,1385,3,70,4,4,1992,block house,central,fully equipped
Žirmūnai,239000,2465,4,96,1,1,2013,brick,gas,fully equipped
Žirmūnai,55000,2124,1,25,5,5,1969,brick,central,fully equipped
Bajorai,98000,2506,2,39,1,1,2018,brick,central thermostat,fully equipped
Fabijoniškės,98000,2506,2,39,1,1,2018,brick,central thermostat,fully equipped
Baltupiai,98000,2506,2,39,1,1,2018,brick,central thermostat,fully equipped
Lazdynai,83000,1367,3,60,4,4,1971,block house,central,fully equipped
Antakalnis,187900,3415,2,55,6,6,2020,brick,central thermostat,partial decoration
Antakalnis,91900,2884,1,31,6,6,2020,brick,central thermostat,partial decoration
Antakalnis,117000,1759,3,66,1,1,2019,brick,gas,partial decoration
Naujamiestis,239000,1824,3,131,3,3,1955,brick,gas,partial decoration
Senamiestis,225000,3000,3,75,4,4,2019,monolithic,central thermostat,partial decoration
Senamiestis,318000,2650,4,120,2,2,2019,monolithic,central thermostat,partial decoration
Šiaurės miestelis,169000,2249,3,75,6,6,2007,brick,central thermostat,fully equipped
Justiniškės,100000,1371,3,72,3,3,2021,brick,central thermostat,partial decoration
Fabijoniškės,99300,1712,2,58,3,3,2004,brick,central thermostat,fully equipped
Pašilaičiai,75000,1940,1,38,8,8,2007,brick,central thermostat,fully equipped
Pašilaičiai,89900,1330,3,67,9,9,1988,monolithic,central,fully equipped
Gineitiškės,289000,1865,4,155,2,2,2021,brick,gas,fully equipped
Senamiestis,450000,4551,4,98,5,5,2016,brick,central,fully equipped
Žvėrynas,480000,4948,3,97,3,3,2005,monolithic,central thermostat,fully equipped
Antakalnis,145000,2088,2,69,4,4,1984,brick,central,fully equipped
Pašilaičiai,95000,1484,3,64,3,3,2008,brick,central thermostat,fully equipped
Šeškinė,82000,1224,3,67,5,5,1980,block house,central,fully equipped
Pilaitė,107900,1910,3,56,2,2,2019,brick,central thermostat,fully equipped
Fabijoniškės,82000,1222,3,67,9,9,1990,block house,central,fully equipped
Šnipiškės,99000,1456,3,68,1,1,1940,brick,central,fully equipped
Jeruzalė,55000,1608,1,34,7,7,1992,brick,central,fully equipped
Naujamiestis,113408,3215,1,35,4,4,2019,monolithic,central thermostat,partial decoration
